saved,educ_low,female,age,educ,emp_in,mobileowner
1,0,2,27.0,3,1,1
1,1,2,27.0,2,1,1
1,1,2,31.0,2,1,1
1,1,1,21.0,2,1,1
0,1,2,46.0,2,1,1
0,1,1,29.0,1,1,1
1,1,1,36.0,2,1,1
0,1,1,48.0,1,1,1
0,1,2,45.0,2,1,1
1,0,2,23.0,3,1,1
0,1,1,37.0,1,1,1
1,0,2,34.0,3,1,1
1,0,2,35.0,3,1,1
0,1,2,40.0,2,1,1
1,1,2,27.0,2,1,1
1,1,1,21.0,2,1,1
0,1,1,30.0,2,1,1
1,1,2,35.0,2,1,1
1,0,1,28.0,3,1,1
1,1,2,40.0,1,1,1
1,1,2,23.0,2,1,1
1,1,2,19.0,2,1,1
1,1,1,66.0,2,2,1
1,1,2,66.0,2,1,1
1,0,1,26.0,3,1,1
1,0,2,45.0,3,1,1
0,1,1,30.0,1,1,1
1,1,1,18.0,2,1,1
1,1,1,17.0,2,1,1
0,1,2,27.0,2,1,1
0,1,2,28.0,2,1,1
1,1,2,18.0,2,1,1
1,1,2,42.0,2,1,1
1,1,2,33.0,2,1,1
0,1,1,22.0,1,1,1
1,0,1,27.0,3,1,1
0,1,1,30.0,2,1,1
0,1,2,21.0,2,1,1
1,1,2,17.0,2,2,1
0,0,2,49.0,3,1,1
1,0,1,36.0,3,1,1
0,1,1,64.0,1,2,1
1,0,1,40.0,3,1,1
1,0,1,34.0,3,1,1
1,0,1,41.0,3,1,1
0,1,1,30.0,2,1,1
0,1,2,66.0,1,1,1
1,1,1,37.0,2,1,1
0,0,2,45.0,3,1,1
1,1,2,18.0,2,1,1
1,0,2,44.0,3,1,1
1,1,1,32.0,2,1,1
0,0,2,79.0,3,1,1
0,1,2,27.0,2,1,1
1,0,2,50.0,3,1,1
1,1,2,33.0,2,1,1
1,0,2,54.0,3,1,1
0,1,1,19.0,2,1,1
1,1,2,37.0,2,1,1
1,0,1,54.0,3,1,1
1,0,2,21.0,3,1,1
1,0,1,55.0,3,1,1
1,0,2,53.0,3,1,1
1,1,1,27.0,2,1,1
0,1,1,28.0,2,2,1
0,0,2,55.0,3,1,1
1,1,1,37.0,2,1,1
0,0,2,52.0,3,1,1
1,0,2,64.0,3,1,1
1,1,2,23.0,2,1,1
0,1,2,45.0,2,1,1
0,1,2,34.0,2,2,1
1,1,1,21.0,2,1,1
0,1,1,35.0,2,1,1
1,0,2,68.0,3,1,1
0,1,2,45.0,2,1,1
0,1,2,41.0,2,1,1
1,1,2,33.0,2,1,1
1,1,2,26.0,2,1,1
1,1,2,64.0,2,1,1
0,0,2,21.0,3,1,1
1,1,2,26.0,2,1,1
0,1,2,15.0,2,2,1
0,1,2,41.0,1,1,1
1,0,1,75.0,3,2,1
1,1,1,22.0,2,2,1
0,1,2,24.0,2,1,1
1,0,1,34.0,3,2,1
1,0,2,48.0,3,2,1
1,1,1,25.0,2,2,1
1,1,1,25.0,2,1,1
0,1,2,46.0,2,1,1
1,1,2,15.0,2,1,1
1,0,2,38.0,3,1,1
0,1,2,29.0,2,1,1
1,0,2,28.0,3,1,1
1,1,1,20.0,2,1,1
1,1,2,25.0,2,1,1
0,1,1,52.0,2,2,1
1,1,2,35.0,2,1,1
1,1,1,32.0,2,1,1
1,0,1,30.0,3,1,1
0,1,2,24.0,2,1,1
1,1,1,31.0,2,2,1
1,1,1,22.0,2,1,1
1,1,1,48.0,1,1,1
0,0,2,38.0,3,1,1
1,1,2,36.0,2,1,1
1,0,2,26.0,3,1,1
1,0,1,59.0,3,1,1
1,1,1,19.0,2,2,1
1,1,1,50.0,2,1,1
1,1,1,15.0,2,2,1
0,1,1,22.0,2,2,1
1,1,2,52.0,2,1,1
1,1,2,39.0,2,1,1
1,1,1,30.0,2,1,1
1,1,2,18.0,2,1,1
1,1,1,41.0,2,2,1
1,0,2,52.0,3,1,1
1,1,2,26.0,2,2,1
0,1,1,55.0,2,1,1
1,0,1,46.0,3,1,1
1,1,1,23.0,2,1,1
1,0,2,22.0,3,1,1
1,0,2,28.0,3,1,1
1,1,2,27.0,2,1,1
1,0,2,24.0,3,1,1
0,1,1,30.0,2,1,1
1,1,1,42.0,2,1,1
0,1,2,35.0,2,1,1
0,1,2,39.0,2,1,1
1,1,2,30.0,2,1,1
1,0,1,22.0,3,2,1
1,1,2,18.0,2,1,1
0,1,2,45.0,1,1,1
1,1,2,34.0,2,1,1
1,1,2,40.0,2,1,1
1,0,2,33.0,3,1,1
0,1,1,57.0,2,1,1
1,0,2,31.0,3,1,1
1,1,1,30.0,2,1,1
1,1,2,37.0,2,1,1
0,1,2,28.0,2,1,1
1,1,2,18.0,2,1,1
0,1,1,35.0,2,1,1
0,0,2,39.0,3,1,1
0,1,2,25.0,2,1,1
1,0,2,41.0,3,1,1
1,1,1,54.0,2,1,1
1,1,1,21.0,2,1,1
1,1,1,51.0,2,1,1
0,0,1,35.0,3,1,1
1,0,2,26.0,3,1,1
1,1,2,30.0,2,1,1
1,0,2,33.0,3,1,1
1,1,2,24.0,2,1,1
0,1,1,30.0,2,1,1
1,0,2,35.0,3,1,1
1,0,2,31.0,3,1,1
1,0,1,42.0,3,1,1
1,1,2,34.0,2,1,1
1,1,2,43.0,2,1,1
0,1,2,48.0,2,1,1
1,1,1,31.0,1,1,1
1,1,2,18.0,2,1,1
1,1,2,24.0,2,1,1
1,1,1,27.0,2,2,1
0,1,2,21.0,2,2,1
1,0,2,58.0,3,1,1
1,1,2,24.0,2,1,1
1,1,2,48.0,2,1,1
0,1,2,27.0,2,1,1
1,1,1,42.0,2,1,1
1,0,1,27.0,3,1,1
0,1,1,20.0,2,1,1
1,1,2,40.0,2,1,1
1,1,1,32.0,2,2,1
1,0,1,28.0,3,1,1
1,1,1,45.0,2,1,1
1,0,2,29.0,3,1,1
0,1,1,35.0,2,2,1
0,1,2,54.0,2,1,1
0,1,1,47.0,2,1,1
0,1,2,42.0,1,1,1
0,1,1,37.0,2,1,1
1,1,1,18.0,2,2,1
1,0,2,40.0,3,1,1
1,1,1,32.0,2,1,1
0,1,1,20.0,2,2,1
0,1,1,38.0,2,2,1
1,1,2,36.0,2,1,1
0,1,1,18.0,2,2,1
0,0,2,55.0,3,1,1
1,0,2,41.0,3,1,1
0,1,2,66.0,2,1,1
1,1,2,28.0,2,1,1
1,1,1,21.0,2,1,1
0,1,1,21.0,1,2,1
1,0,2,51.0,3,1,1
1,0,2,50.0,3,1,1
1,0,2,27.0,3,1,1
0,0,2,58.0,3,1,1
0,0,1,48.0,3,1,1
0,1,2,41.0,2,1,1
1,1,1,26.0,2,1,1
0,1,1,45.0,2,1,1
1,1,1,28.0,2,1,1
0,1,2,36.0,1,1,1
1,1,2,30.0,2,1,1
